btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,sp500_close_30,class_y0
63685.80069307,127.368,127.1266666667,66.6666666667,-0.4692485859,-1.4509696252,-1.0168515958,-1.9571268119,-4.5843511913,123.35,1646.3786021505,1
72536.09292318,125.942,126.6766666667,66.6666666667,-1.1250352959,-0.7179631915,-1.2451838675,-2.202824585,0.1787020214,123.22,1646.0416129032,0
64560.2342052,124.694,125.0466666667,58.3333333333,-1.0091881224,-1.4774098621,-2.1932456719,-0.9976929122,-2.1740878457,120.58,1645.3223655914,1
69293.26115416,123.352,124.1116666667,58.3333333333,-1.0776963595,-1.5146448413,-0.4914093912,-0.8264650976,0.5211576506,120.98,1643.0541935484,0
64356.28298354,121.354,122.59,50,-1.615096494,-0.8727828196,-1.2232777666,-0.7478727271,-2.0169031047,118.78,1641.7494623656,0
46094.80688774,118.79,119.4916666667,41.6666666667,-2.2013792666,-2.7963995885,-3.0038368362,-4.7663340795,-7.5157650543,110.17,1641.4560215054,0
41039.79977377,115.968,117.1766666667,41.6666666667,-2.4322965584,-2.4968487366,-3.5028508656,-4.245824746,-0.9758844378,109.11,1641.1416129032,0
10305.30088797,111.888,113.335,41.6666666667,-3.7072350901,-4.7643332753,-5.6801433321,-4.762332471,-8.5487805043,100.17,1640.7970967742,1
23841.85929547,108.492,110.61,41.6666666667,-3.0187604831,-3.2692248277,-1.8537114188,-2.2926249093,3.9635306857,104.21,1640.6590322581,1
29076.21263584,106.208,108.3033333333,50,-2.0217073873,-0.6481929705,-0.5389624815,3.46594653,2.9683623742,107.35,1639.526344086,0
21463.59208329,105.484,106.2666666667,41.6666666667,-0.668143705,-0.5912085219,2.0613154723,1.1102078656,-0.7479466431,106.1,1637.3022580645,0
13416.31158228,104.062,104.9033333333,33.3333333333,-1.3476746877,0.4526017665,-0.7177078732,-2.560742997,-4.3735393508,101.86,1636.8486021505,0
2717.89957538,103.83,103.22,33.3333333333,-0.2329577498,-1.2820798587,-2.6988939363,-3.6743675829,-2.975195815,99.01,1635.6126881721,1
6961.30729343,102.87,103.095,33.3333333333,-0.9430149763,-1.9208593139,-2.3118302042,-1.2809756309,0.4132445532,99.43,1634.4412903226,0
3871.57266552,101.272,102.2866666667,33.3333333333,-1.5467483196,-1.7464487387,-0.870751868,0.1814701054,-0.0503043423,98.74,1633.3209677419,1
8657.33868579,99.96,101.06,33.3333333333,-1.2707604161,-0.4950656824,0.3316443618,0.2908442661,0.6319928745,100.39,1633.2839784946,1
19532.08198269,100.46,100.7166666667,41.6666666667,0.4842851624,1.3491554068,1.6611256913,2.5168407081,4.4016885417,104.49,1634.0227956989,1
25015.61771524,101.706,101.2566666667,50,1.2204520208,1.4222538876,1.913106631,2.5536635092,0.7056384767,105.24,1633.4003225807,0
15927.09223957,102.344,101.8566666667,50,0.6316418642,0.8021284158,0.8588402629,-0.9125838765,-2.5308062298,103,1630.3369892473,0
3595.42923857,102.83,102.2533333333,50,0.4831969375,0.4459979532,-0.8725655763,-1.6616676028,-0.7925289758,101.29,1628.0433333333,0
245.10366726,102.83,102.3583333333,41.6666666667,0,-1.1004221354,-1.7024423395,-1.2882603943,-1.7839918128,100,1625.8691827957,1
2222.49637345,102.012,102.4266666667,41.6666666667,-0.7985053503,-1.174541307,-0.7224529994,-0.6874150113,0.4091617903,100.4,1623.8027096774,0
-7480.19201704,100.858,101.5883333333,41.6666666667,-1.1277473002,-0.7769825677,-0.7718004317,-0.2657047412,-0.9405712727,98.83,1619.6720860215,0
-12774.24381318,99.91,100.36,41.6666666667,-0.9459065287,-0.984250917,-0.7176706183,-1.2810868227,-1.6216023727,97.57,1616.706516129,1
-7833.83603424,99.304,99.72,50,-0.6043237839,-0.3094067767,-0.5489296324,-0.3531088122,0.9153847482,98.75,1614.7925591398,0
-12771.25278866,98.566,98.805,41.6666666667,-0.7519606083,-1.042241208,-1.0761311864,-0.8033955932,-2.5221759347,96.98,1613.7107526882,0
-31328.78179206,96.476,97.1316666667,41.6666666667,-2.197933536,-2.5122741018,-2.8091646782,-4.6714393914,-6.8207028482,89.2,1612.2644301075,0
