btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_high_30,btc_low_30,btc_close_30,sp500_close_30,google_trend_2,google_trend_3,wikipedia_trend_2,class_y0
-7480.19201704,100.858,101.5883333333,41.6666666667,-1.1277473002,-0.7769825677,-0.7718004317,-0.2657047412,-0.9405712727,98.83,99.99,106.7425806452,109.3903225806,102.0118494624,105.931311828,1619.6720860215,8,8,7472,0
-12774.24381318,99.91,100.36,41.6666666667,-0.9459065287,-0.984250917,-0.7176706183,-1.2810868227,-1.6216023727,97.57,102,105.8442365591,108.4814623656,101.3371397849,105.0332258065,1616.706516129,8,8,11213,1
-7833.83603424,99.304,99.72,50,-0.6043237839,-0.3094067767,-0.5489296324,-0.3531088122,0.9153847482,98.75,102.47,104.9294408602,107.5697849462,100.6415698925,104.2612258065,1614.7925591398,8,8,10908,0
-12771.25278866,98.566,98.805,41.6666666667,-0.7519606083,-1.042241208,-1.0761311864,-0.8033955932,-2.5221759347,96.98,90,104.1610967742,106.6452473118,99.989655914,103.3896129032,1613.7107526882,8,8,9066,0
-31328.78179206,96.476,97.1316666667,41.6666666667,-2.197933536,-2.5122741018,-2.8091646782,-4.6714393914,-6.8207028482,89.2,98.55,103.3375913979,105.6971612903,98.8803225806,102.172,1612.2644301075,8,8,9960,0
-35702.40619461,94.378,95.2266666667,33.3333333333,-2.2288893157,-2.3807110515,-3.4794096514,-3.9580265097,-1.0953501713,88.83,98.5,102.0745376344,104.4431612903,97.7349032258,100.9780215054,1610.9207956989,7,8,9261,1
-33311.73178173,92.71,93.57,33.3333333333,-1.7813260558,-2.4555037568,-2.4332796976,-0.2395681223,0.6162139268,89.41,95,100.8753763441,103.1893548387,96.789483871,99.9008817204,1609.693827957,7,8,6761,0
-54166.20047373,89.856,91.3416666667,25,-3.1208476111,-3.2705155302,-2.0871197576,-2.5830045507,-5.7822230283,83.41,97.47,99.7952473118,102.0116129032,95.4676129032,98.5817634409,1609.0147096774,7,8,8933,1
-41499.80898633,88.194,89.5466666667,33.3333333333,-1.8047068219,-0.5507078153,-0.3691603633,-0.8618475084,4.0585280115,88.04,96.13,98.4104946237,100.81,94.3069247312,97.583655914,1608.4156989247,7,8,10896,0
-62240.69451153,85.604,86.33,33.3333333333,-3.1085968708,-3.6119085457,-5.0212827032,-4.6408125406,-13.3401530927,77.33,96,97.422,99.7634408602,92.7836989247,95.9517849462,1607.9763655914,7,8,33033,1
-40283.26236773,83.688,84.57,41.6666666667,-2.2782651425,-3.0018849098,-2.075105537,-5.1419223113,3.0563084702,79.4,88.01,95.8184731183,98.4279569892,91.0247526882,94.573483871,1608.4633763441,7,8,20780,0
-73218.6282968301,79.168,80.895,33.3333333333,-5.8185293507,-5.8276059313,-9.1229839122,-7.0143993219,-17.0851071141,67.13,86.2,94.4471827957,96.887655914,88.9265806452,92.4792043011,1609.2789892473,7,8,11057,0
-90464.5865786301,75.536,77.03,33.3333333333,-4.8391700169,-7.063594524,-4.9714083344,-8.9852667367,-0.8854263594,66.34,88.01,92.3728387097,95.0199139785,86.9329032258,90.4635698925,1610.0532043011,7,7,9726,1
-83606.0642601401,72.728,75.2733333333,41.6666666667,-3.4762481592,-1.0102719258,-2.3657987245,4.9938554703,10.8731373,73.97,80.94,90.3633333333,93.3260430108,85.1552043011,89.0523225806,1610.8177419355,7,7,6977,1
-64936.4862602401,72.206,73.0066666667,41.6666666667,-0.6895868342,-1.6260606604,3.5269548242,5.733145416,0.593153532,74,81.9,88.9588602151,91.9216344086,83.8301935484,87.7473548387,1612.1387311828,7,7,7497,1
-49027.4863540401,71.328,72.6733333333,50,-1.1375386054,2.8493535217,4.0942801488,0.7048515731,0.8165496142,75,75.11,87.634172043,90.5336129032,82.597311828,86.5563870968,1614.1113333333,7,7,9578,1
-21752.3022241401,75.18,73.805,58.3333333333,5.0581372909,6.5440282035,5.100991838,7.354910991,13.8932723678,86.13,70.06,86.4495053763,89.9044946237,81.7010967742,86.1408172043,1616.2624301075,7,7,9477,1
-4441.2452411401,79.338,77.1716666667,66.6666666667,5.4521644545,4.0969212431,5.2648438135,7.4889909131,1.0847094584,87.81,63.26,86.0370322581,89.5352903226,81.4274408602,85.8246666667,1619.7866451613,7,7,9444,1
27619.5846116599,82.58,81.1433333333,66.6666666667,3.9634474199,4.8060208918,6.135844651,2.2571307926,3.4295521269,90.19,63,85.771827957,89.8526236559,81.3723225806,85.7481505376,1623.234516129,7,7,8869,1
33624.1404169399,86.034,84.095,75,4.1747846027,5.0143433498,2.0547003438,2.5396957865,1.6498394462,91.67,64.5,85.7021935484,89.6804516129,81.3922795699,85.803655914,1626.5528172043,10,7,7522,0
28421.1987951799,89.038,86.7,66.6666666667,3.6504302028,1.0897196615,1.0913897292,-0.0776914696,-1.8052223853,90.02,70.1,85.7622580645,89.6054623656,81.5400860215,85.7755698925,1629.7990752688,10,7,5258,1
41451.8598151799,90.556,89.8283333333,75,1.68794904,1.8387589355,1.3084945383,1.1378220844,4.0808665541,93.76,70.25,85.7377849462,89.6809032258,81.6520430108,86.0087311828,1633.4141505376,10,7,6035,0
32166.3862656299,91.44,90.7216666667,66.6666666667,0.9896802975,0.3797123402,-0.0436633618,0.83711615,-2.4066342541,91.61,74.81,85.9739354839,89.7068817204,81.8446666667,86.1101505376,1636.511483871,10,7,6925,0
24761.5198064599,91.6,91.3616666667,66.6666666667,0.1766600864,-0.1916347535,0.3462277905,-1.5210915914,-0.6355489287,90.96,83.85,86.0835698925,89.649655914,82.0506451613,86.1909677419,1639.7819354839,10,7,7689,0
