btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_high_5,btc_low_5,btc_close_5,btc_vol_5,hrate_30,class_y0
46094.80688774,118.79,119.4916666667,41.6666666667,-2.2013792666,-2.7963995885,-3.0038368362,-4.7663340795,-7.5157650543,110.17,125.01,117,123.22,8850.29223011,109.5266753686,0
41039.79977377,115.968,117.1766666667,41.6666666667,-2.4322965584,-2.4968487366,-3.5028508656,-4.245824746,-0.9758844378,109.11,123.66,116.32,120.57,7975.85871798,111.4597267087,0
10305.30088797,111.888,113.335,41.6666666667,-3.7072350901,-4.7643332753,-5.6801433321,-4.762332471,-8.5487805043,100.17,122.74,119.65,121.2,4733.02694896,113.2412685606,1
23841.85929547,108.492,110.61,41.6666666667,-3.0187604831,-3.2692248277,-1.8537114188,-2.2926249093,3.9635306857,104.21,121.33,118.43,118.78,4936.97817062,115.5747330595,1
29076.21263584,106.208,108.3033333333,50,-2.0217073873,-0.6481929705,-0.5389624815,3.46594653,2.9683623742,107.35,119.16,107,110.18,18261.4760958,117.5962160613,0
21463.59208329,105.484,106.2666666667,41.6666666667,-0.668143705,-0.5912085219,2.0613154723,1.1102078656,-0.7479466431,106.1,112.46,108.44,109.11,5055.00711397,120.7169956337,0
13416.31158228,104.062,104.9033333333,33.3333333333,-1.3476746877,0.4526017665,-0.7177078732,-2.560742997,-4.3735393508,101.86,110,90,100.17,30734.4988858,123.3690444531,0
2717.89957538,103.83,103.22,33.3333333333,-0.2329577498,-1.2820798587,-2.6988939363,-3.6743675829,-2.975195815,99.01,107.9,93.1,104.22,13536.5584075,124.8238872972,1
6961.30729343,102.87,103.095,33.3333333333,-0.9430149763,-1.9208593139,-2.3118302042,-1.2809756309,0.4132445532,99.43,108,102.97,107.36,5234.35334037,126.3677846406,0
3871.57266552,101.272,102.2866666667,33.3333333333,-1.5467483196,-1.7464487387,-0.870751868,0.1814701054,-0.0503043423,98.74,111.18,105.01,106.56,7612.62055255,128.3420146762,1
8657.33868579,99.96,101.06,33.3333333333,-1.2707604161,-0.4950656824,0.3316443618,0.2908442661,0.6319928745,100.39,108.43,95,102,8047.28050101,130.3892246276,1
19532.08198269,100.46,100.7166666667,41.6666666667,0.4842851624,1.3491554068,1.6611256913,2.5168407081,4.4016885417,104.49,102.95,95,99.01,10698.4120069,131.7976692762,1
25015.61771524,101.706,101.2566666667,50,1.2204520208,1.4222538876,1.913106631,2.5536635092,0.7056384767,105.24,105,96.22,99.42,4243.40771805,131.7859581471,0
15927.09223957,102.344,101.8566666667,50,0.6316418642,0.8021284158,0.8588402629,-0.9125838765,-2.5308062298,103,101.11,98,99.37,3089.73462791,132.9833469083,0
3595.42923857,102.83,102.2533333333,50,0.4831969375,0.4459979532,-0.8725655763,-1.6616676028,-0.7925289758,101.29,101.47,98.29,100,4785.76602027,135.7317141331,0
245.10366726,102.83,102.3583333333,41.6666666667,0,-1.1004221354,-1.7024423395,-1.2882603943,-1.7839918128,100,108.18,99.99,104.5,10874.7432969,138.2589204014,1
2222.49637345,102.012,102.4266666667,41.6666666667,-0.7985053503,-1.174541307,-0.7224529994,-0.6874150113,0.4091617903,100.4,107.5,102,105.24,5483.53573255,140.8711693977,0
-7480.19201704,100.858,101.5883333333,41.6666666667,-1.1277473002,-0.7769825677,-0.7718004317,-0.2657047412,-0.9405712727,98.83,108,102.47,102.61,9088.52547567,141.2665285795,0
-12774.24381318,99.91,100.36,41.6666666667,-0.9459065287,-0.984250917,-0.7176706183,-1.2810868227,-1.6216023727,97.57,104.86,90,101.8,12331.663001,141.899830149,1
-7833.83603424,99.304,99.72,50,-0.6043237839,-0.3094067767,-0.5489296324,-0.3531088122,0.9153847482,98.75,103,98.55,100,3350.32557131,144.9792807319,0
-12771.25278866,98.566,98.805,41.6666666667,-0.7519606083,-1.042241208,-1.0761311864,-0.8033955932,-2.5221759347,96.98,101.45,98.5,100.41,1977.39270619,146.4649215898,0
-31328.78179206,96.476,97.1316666667,41.6666666667,-2.197933536,-2.5122741018,-2.8091646782,-4.6714393914,-6.8207028482,89.2,102.3,95,99.47,9702.68839049,147.9418916211,0
-35702.40619461,94.378,95.2266666667,33.3333333333,-2.2288893157,-2.3807110515,-3.4794096514,-3.9580265097,-1.0953501713,88.83,101,97.47,97.87,5294.05179614,149.8863044978,1
-33311.73178173,92.71,93.57,33.3333333333,-1.7813260558,-2.4555037568,-2.4332796976,-0.2395681223,0.6162139268,89.41,99.98,96.13,98.77,4940.40777894,151.8883511631,0
-54166.20047373,89.856,91.3416666667,25,-3.1208476111,-3.2705155302,-2.0871197576,-2.5830045507,-5.7822230283,83.41,98.76,96,96.31,4937.41675442,153.0053286062,1
-41499.80898633,88.194,89.5466666667,33.3333333333,-1.8047068219,-0.5507078153,-0.3691603633,-0.8618475084,4.0585280115,88.04,97.45,88.01,89.96,18557.5290034,154.3042894301,0
-62240.69451153,85.604,86.33,33.3333333333,-3.1085968708,-3.6119085457,-5.0212827032,-4.6408125406,-13.3401530927,77.33,91.61,86.2,88.98,4373.62440255,156.7418535075,1
-40283.26236773,83.688,84.57,41.6666666667,-2.2782651425,-3.0018849098,-2.075105537,-5.1419223113,3.0563084702,79.4,90.3,88.01,89.53,2390.67441288,158.7096909313,0
-73218.6282968301,79.168,80.895,33.3333333333,-5.8185293507,-5.8276059313,-9.1229839122,-7.0143993219,-17.0851071141,67.13,90.16,80.94,84.5,20854.468692,161.0416031224,0
-90464.5865786301,75.536,77.03,33.3333333333,-4.8391700169,-7.063594524,-4.9714083344,-8.9852667367,-0.8854263594,66.34,88.5,81.9,88,12666.3914874,164.0594788865,1
-83606.0642601401,72.728,75.2733333333,41.6666666667,-3.4762481592,-1.0102719258,-2.3657987245,4.9938554703,10.8731373,73.97,89.56,75.11,77.01,20740.8855252,166.8770918445,1
-64936.4862602401,72.206,73.0066666667,41.6666666667,-0.6895868342,-1.6260606604,3.5269548242,5.733145416,0.593153532,74,83.9,70.06,79.4,21957.4321438,169.4683616983,1
-49027.4863540401,71.328,72.6733333333,50,-1.1375386054,2.8493535217,4.0942801488,0.7048515731,0.8165496142,75,79.4,63.26,66.93,32935.3659291,172.9420447676,1
-21752.3022241401,75.18,73.805,58.3333333333,5.0581372909,6.5440282035,5.100991838,7.354910991,13.8932723678,86.13,72.88,63,66.34,17245.9582818,174.1831426986,1
-4441.2452411401,79.338,77.1716666667,66.6666666667,5.4521644545,4.0969212431,5.2648438135,7.4889909131,1.0847094584,87.81,73.96,64.5,73.96,6858.52231849,179.7440735564,1
27619.5846116599,82.58,81.1433333333,66.6666666667,3.9634474199,4.8060208918,6.135844651,2.2571307926,3.4295521269,90.19,76.94,70.1,74.4,18669.5779999,182.7961206828,1
33624.1404169399,86.034,84.095,75,4.1747846027,5.0143433498,2.0547003438,2.5396957865,1.6498394462,91.67,76.01,70.25,75.01,15908.9999062,184.5456351923,0
28421.1987951799,89.038,86.7,66.6666666667,3.6504302028,1.0897196615,1.0913897292,-0.0776914696,-1.8052223853,90.02,86.64,74.81,86.19,27275.1841299,187.2016862899,1
41451.8598151799,90.556,89.8283333333,75,1.68794904,1.8387589355,1.3084945383,1.1378220844,4.0808665541,93.76,89.96,83.85,87.13,17311.056983,190.3600473949,0
32166.3862656299,91.44,90.7216666667,66.6666666667,0.9896802975,0.3797123402,-0.0436633618,0.83711615,-2.4066342541,91.61,100,86.6,90.17,32060.8298528,192.7464064856,0
24761.5198064599,91.6,91.3616666667,66.6666666667,0.1766600864,-0.1916347535,0.3462277905,-1.5210915914,-0.6355489287,90.96,92.04,87.15,91.67,6004.55580528,195.4055812074,0
3314.8537380599,90.322,90.5466666667,66.6666666667,-1.4451042311,-1.3550746926,-3.1670551081,-3.5472655351,-6.4589821416,85,93,88.87,90.03,5202.94162176,198.1621857694,1
12004.8144900599,89.618,89.6866666667,66.6666666667,-0.7976586786,-2.0172899867,-1.8875085643,-2.5134883821,1.4320053775,86.51,95,88.11,93.78,13030.66102,200.4878459403,0
7553.3396221599,87.87,88.855,58.3333333333,-1.9565975926,-1.8440884272,-2.2469349267,-0.1409113192,-1.7138280159,85.02,93.9,89.09,91.55,9285.47354955,204.1095901223,1
10461.2018335099,86.746,87.5466666667,58.3333333333,-1.2670451959,-1.4249192627,0.2531016969,-0.3363501434,1.0411277291,85.73,92.37,89,90.97,7404.86645917,208.181416871,0
