btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_low_30,btc_close_30,trfee_value_30,class_y0
358863.63531771,200.908,199.7566666667,58.3333333333,0.8230367405,0.6934266037,-0.416221447,1.1534450303,-0.6852549677,202.14,177,172.438172043,166.1511612903,175.37,37.4656464262,1
365463.73357711,202.556,201.5666666667,58.3333333333,0.8210777414,0.0207544878,1.2128574509,0.3232136622,1.3316822922,204.86,179.5,175.4727311828,169.4258709677,178.3731397849,36.7303288468,1
376691.69653681,203.618,203.7966666667,58.3333333333,0.5122178244,1.5291608809,1.0414994985,1.9048767315,2.4780711709,210,190.8,178.4713978495,172.6362795699,181.5203010753,36.1016704257,1
404953.48468521,209.476,207.4866666667,58.3333333333,2.7651948552,2.7084573119,3.8396947384,5.0937009615,7.7093307521,227.29,195.32,181.6140645161,175.8988817204,185.5638924731,38.22728032,1
447537.18551391,217.348,215.0466666667,66.6666666667,3.5357458049,4.590995998,5.6774339,7.2771152645,6.844899777,242.9,195,185.6828387097,180.1879139785,190.4170967742,38.9596476628,1
487563.89238161,229.566,224.9966666667,75,5.28112335,6.2684836145,7.531954429,7.4432662675,8.041632758,263.24,195.1,190.5306666667,185.2262580645,196.3236129032,44.2336389354,1
537267.74418281,246.794,239.805,83.3333333333,7.0199289633,8.1553934114,8.3040809644,9.0336715582,10.0257103584,291,200.23,196.4318064516,191.4321290323,203.7205806452,49.2877203733,1
577453.90282611,271.594,261.3283333333,83.3333333333,9.2806692452,9.6735038685,10.616371899,11.9037414694,13.7817725805,333.9,201.2,203.8233978495,198.9843010753,213.5328817204,53.5027395885,1
621815.11460561,294.476,283.2016666667,83.3333333333,8.167704076,8.4984051508,8.6506626151,7.9631387435,2.1445049064,341.24,203.51,213.6246666667,206.8325806452,223.3647526882,56.1262862981,0
554577.70712421,310.496,299.23,75,5.7000497443,5.1146539909,3.4776352017,-1.6744334877,-5.4933718818,323,207.22,223.4519354839,212.1168817204,231.558688172,56.4470907736,1
581521.08536811,326.63,316.065,83.3333333333,5.346276633,4.1764182016,0.9746334086,0.3896976598,6.2727672013,343.63,226,231.6412688172,220.0111182796,240.6809677419,57.3303571847,1
601269.36686991,339.422,331.3516666667,83.3333333333,3.973636798,1.5216028523,1.3139688343,4.7176391924,3.1625111835,354.94,241.11,240.7408817204,229.4391397849,250.0517849462,55.4455718705,1
639959.16880181,351.322,348.435,91.6666666667,3.2788014976,3.5623756454,6.5809581545,6.7350536311,10.3075960787,393.5,263.24,250.1055483871,239.3735268817,261.4313333333,53.8551439906,1
671597.64624461,366.464,362.26,91.6666666667,4.0076053699,6.3828496828,6.4195438432,8.0480601731,5.7885242676,416.88,288.81,261.4803010753,250.5097634409,273.7687741935,52.2430078245,0
639274.44000651,384.264,374.0533333333,83.3333333333,4.8674205225,4.5160838528,4.9672747426,2.2971140746,-1.1942961183,412.07,298.95,273.8084516129,261.695655914,285.1972043011,50.3340272294,1
657257.90004561,402.388,392.6416666667,83.3333333333,4.6776998393,5.0564970033,3.3061306448,2.0649338334,5.3241637852,434.53,265.01,285.2367526882,273.4298924731,297.4889892473,48.262393729,1
683249.49521991,426.872,414.8866666667,83.3333333333,5.9261542473,4.8307937895,4.5115502968,7.3644735044,9.4047832236,478.1,310.1,297.5236989247,286.3606451613,311.9203655914,46.2207917056,1
740338.57417371,481.974,467.2283333333,83.3333333333,10.6143587968,11.8208174292,16.1591886117,21.5767010249,33.7486188263,669,340.01,311.996688172,301.032688172,338.0171397849,44.9008746974,0
668777.62820661,505.786,490.98,75,5.0237301416,6.5782367066,6.9962610137,5.7919999088,-22.1646190086,536.01,354.94,338.0864301075,309.0043225806,354.4515268817,44.0726147962,1
726489.13542781,543.186,521.3216666667,75,7.4847649753,8.0249152729,7.5649592893,-5.5268704792,11.1108780502,600,381,354.5144516129,320.5126021505,374.1553333333,42.7593771076,1
